,date,sentimentScore
1444,2017-12-15,3.0293985725740504
1445,2017-12-16,2.8916764496786374
1446,2017-12-17,2.9098084475847052
1447,2017-12-18,3.0070322109518623
1448,2017-12-19,3.417846406503058
1449,2017-12-20,3.2036600454353397
1450,2017-12-21,3.3340422130567613
1451,2017-12-22,3.8197992384917736
1452,2017-12-23,2.8655122143680036
1453,2017-12-24,2.2591215280168453
1454,2017-12-25,1.7577990275124427
1455,2017-12-26,1.7617640973777822
1456,2017-12-27,2.1868343396611762
1457,2017-12-28,2.171929224851235
1458,2017-12-29,2.4876419305076367
1459,2017-12-30,2.7734644901696983
1460,2017-12-31,2.137065284590677
1461,2018-01-01,1.8841169319642452
1462,2018-01-02,2.4919837299958174
1463,2018-01-03,3.09240009353757
1464,2018-01-04,3.8278213372860916
1465,2018-01-05,3.416303778710924
1466,2018-01-06,3.441618991782613
1467,2018-01-07,3.062000990546245
1468,2018-01-08,3.138764853378683
1469,2018-01-09,2.83328649797942
1470,2018-01-10,3.0452443936395244
1471,2018-01-11,3.402975368891825
1472,2018-01-12,2.661031305079485
1473,2018-01-13,2.0951271174831625
1474,2018-01-14,2.0710178588954617
1475,2018-01-15,1.8079691021130793
1476,2018-01-16,3.468070489116141
1477,2018-01-17,3.504532455830704
1478,2018-01-18,2.4052392980024666
1479,2018-01-19,1.7770071743364264
1480,2018-01-20,1.2032531022621473
1481,2018-01-21,1.2834379136169833
1482,2018-01-22,1.4643349493101496
1483,2018-01-23,1.3463348384255838
1484,2018-01-24,1.2934759588733364
1485,2018-01-25,0.9229492728759021
1486,2018-01-26,1.048979213488449
1487,2018-01-27,0.8715617111219511
1488,2018-01-28,0.8146836143207162
1489,2018-01-29,1.0618688763059363
1490,2018-01-30,1.1010120705669673
1491,2018-01-31,0.987538458779766
1492,2018-02-01,0.7724475838083623
1493,2018-02-02,1.0604224914625078
1494,2018-02-03,0.48541175078761795
1495,2018-02-04,0.2278491682557679
1496,2018-02-05,0.6148794184906696
1497,2018-02-06,0.9279133170841372
1498,2018-02-07,0.5947584325375238
1499,2018-02-08,0.23296287316941372
1500,2018-02-09,0.41456550040987167
1501,2018-02-10,0.22985849393865773
1502,2018-02-11,0.17627736071608763
1503,2018-02-12,0.28573429909439263
1504,2018-02-13,0.23371929690668775
1505,2018-02-14,0.14193915836411222
1506,2018-02-15,0.05453719691440248
1507,2018-02-16,0.11322592628018473
1508,2018-02-17,-0.002985843760686183
1509,2018-02-18,0.04385009856213462
1510,2018-02-19,0.12335023786904363
1511,2018-02-20,0.20194092789194532
1512,2018-02-21,0.2607024069416209
1513,2018-02-22,0.1536409507502593
1514,2018-02-23,0.2520952316132971
1515,2018-02-24,-0.007911812980339827
1516,2018-02-25,-0.24897295685487714
1517,2018-02-26,0.09161515509217719
1518,2018-02-27,0.1256076531070259
1519,2018-02-28,0.2563466194720481
1520,2018-03-01,0.08805601750615132
1521,2018-03-02,-0.006437881441778265
1522,2018-03-03,0.03335478144748709
1523,2018-03-04,-0.6205039924796801
1524,2018-03-05,-0.4678496382033348
1525,2018-03-06,-0.33455655111293614
1526,2018-03-07,-0.25331101415668833
1527,2018-03-08,-0.4255162467515067
1528,2018-03-09,-0.5469248599460343
1529,2018-03-10,-0.6483279852656055
1530,2018-03-11,-0.7044767255713144
1531,2018-03-12,-0.5332773809284187
1532,2018-03-13,-0.5913177748974523
1533,2018-03-14,-0.6926201182125694
1534,2018-03-15,-0.7451929580922877
